Database_id,Quality_grade,Scientific_name,latitude,longitude,Country_name,Database_origin,url,Author_notes
12927495,research,Amanita foetens,-35.78913338,-63.1243515,Argentina,iNaturalist,https://www.inaturalist.org/observations/12927495,
12341687,research,Amanita foetens,-35.6500015,-63.2333298,Argentina,iNaturalist,https://www.inaturalist.org/observations/12341687,
40886890,research,Amanita foetens,-34.93864054,-57.98671525,Argentina,iNaturalist,https://www.inaturalist.org/observations/40886890,
11940524,research,Amanita foetens,-34.9087,-57.934289,Argentina,iNaturalist,https://www.inaturalist.org/observations/11940524,
41314918,research,Amanita foetens,-34.79794,-58.38014917,Argentina,iNaturalist,https://www.inaturalist.org/observations/41314918,
39059160,research,Amanita foetens,-34.7364678,-58.53123486,Argentina,iNaturalist,https://www.inaturalist.org/observations/39059160,
36733152,research,Amanita foetens,-34.6852352,-58.45295843,Argentina,iNaturalist,https://www.inaturalist.org/observations/36733152,
10656145,research,Amanita foetens,-34.67452534,-58.70454077,Argentina,iNaturalist,https://www.inaturalist.org/observations/10656145,
11369386,research,Amanita foetens,-34.67196588,-58.70463588,Argentina,iNaturalist,https://www.inaturalist.org/observations/11369386,
9304440,research,Amanita foetens,-34.6666718,-58.7000008,Argentina,iNaturalist,https://www.inaturalist.org/observations/9304440,
109196384,research,Amanita foetens,-34.6081059,-58.3509217,Argentina,iNaturalist,https://www.inaturalist.org/observations/109196384,
42408619,research,Amanita foetens,-34.54171803,-58.44111977,Argentina,iNaturalist,https://www.inaturalist.org/observations/42408619,
40991799,research,Amanita foetens,-34.54008107,-58.60833745,Argentina,iNaturalist,https://www.inaturalist.org/observations/40991799,
1988689444,research,Amanita foetens,-26.85644,-65.185532,Argentina,10801,none,Genome sequenced AmanitaBASE 10801. From GBIF R. Singer ISOTYPE T1672
69361733,research,Amanita foetens,-34.88883175,-54.86065597,Uruguay,iNaturalist,https://www.inaturalist.org/observations/69361733,
68392208,research,Amanita foetens,-33.23214397,-54.37710297,Uruguay,iNaturalist,https://www.inaturalist.org/observations/68392208,
NA,research,Amanita sp,-31.124987,-64.317791,Argentina,10175,none,"Genome sequenced AmanitaBASE 10175. From Gerardo Robledo, coordinates for the mushroom that sparked the project!! (31°7' 30"" S, 64° 19' 44"" O)"
200425,CONFIRM_ND,Amanita thiersii,-34.81798,-58.15529,Argentina,Mush_Observer,https://mushroomobserver.org/200425,Added 12/21/22 with coordinates found online https://www.latlong.net/c/?lat=-34.817982&long=-58.155289
361570,CONFIRM_ND,Amanita thiersii,-32.61091,-55.83285,Uruguay,Mush_Observer,https://mushroomobserver.org/361570,Added 12/21/22 with coordinates found online https://www.latlong.net/c/?lat=-32.610910&long=-55.832850
428986,research,Amanita thiersii,28.4356,-97.755,USA,Mush_Observer,https://mushroomobserver.org/428986,"""Gills turned pale yellow as the specimen aged (after collecting)."" ""Stipe hollow except for some of the felt-like material inside (filled about 20%)."""
411618,research,Amanita thiersii,28.5436,-97.8474,USA,Mush_Observer,https://mushroomobserver.org/411618,"""The odor was unpleasant (a bit like a sweaty locker room)."" Pictures do not look like Athiersii. BUT ITS DNA sequence matches 100%."
428918,research,Amanita thiersii,28.5436,-97.8247,USA,Mush_Observer,https://mushroomobserver.org/428918,
317267,research,Amanita thiersii,30.5268,-95.776,USA,Mush_Observer,https://mushroomobserver.org/317267,
253156,research,Amanita thiersii,35.2583,-97.5015,USA,Mush_Observer,https://mushroomobserver.org/253156,
471896,research,Amanita thiersii,38.1851,-85.7631,USA,Mush_Observer,https://mushroomobserver.org/471896,
252881,research,Amanita thiersii,38.5258,-89.1109,USA,Mush_Observer,https://mushroomobserver.org/252881,
328896,research,Amanita thiersii,38.6693,-90.5232,USA,Mush_Observer,https://mushroomobserver.org/328896,
328894,research,Amanita thiersii,38.6937,-90.4795,USA,Mush_Observer,https://mushroomobserver.org/328894,
NA,research,Amanita thiersii,38.774929,-95.186096,USA,10802,none,Genome sequenced AmanitaBASE 10802. Added 7/6/22 with coordinates found online https://www.latlong.net/c/?lat=38.774929&long=-95.186096
324293,research,Amanita thiersii,39.2125,-96.3131,USA,Mush_Observer,https://mushroomobserver.org/324293,"""Mushroom is scentless."""
250707,research,Amanita thiersii,39.8353,-88.9865,USA,Mush_Observer,https://mushroomobserver.org/250707,
466851,research,Amanita thiersii,40.0478,-76.4225,USA,Mush_Observer,https://mushroomobserver.org/466851,
467928,research,Amanita thiersii,40.0486,-76.4231,USA,Mush_Observer,https://mushroomobserver.org/467928,
5115480,CONFIRM_ND,Saproamanita thiersii,-38.00914823,-57.5793457,Argentina,iNaturalist,http://conabio.inaturalist.org/observations/5115480,"One poor photo, but it does look like Amanita. Argentina"
105680072,needs_id,Saproamanita thiersii,-34.71009212,-58.26355644,Argentina,iNaturalist,https://www.inaturalist.org/observations/105680072,
102903830,needs_id,Saproamanita thiersii,-34.64237978,-58.62993203,Argentina,iNaturalist,https://www.inaturalist.org/observations/102903830,
97602580,needs_id,Saproamanita thiersii,-34.33994,-58.774438,Argentina,iNaturalist,https://www.inaturalist.org/observations/97602580,
53329070,research,Saproamanita thiersii,17.44941797,-98.70523442,Mexico,iNaturalist,https://www.inaturalist.org/observations/53329070,
57892134,research,Saproamanita thiersii,18.03043628,-97.66908702,Mexico,iNaturalist,https://www.inaturalist.org/observations/57892134,Could be! Only one blurry picture. Mexico!
86939921,research,Saproamanita thiersii,19.60721813,-99.09648678,Mexico,iNaturalist,https://www.inaturalist.org/observations/86939921,"Looks like Amanita, but Mexico!!! Photos don't show stipe, ring, volva, gills. Second photo has browning of cap (suspect)"
